 	Area	Mean	X	Y	XM	YM
1	3906	120.416	319.907	244.629	320.105	244.471
2	3912	120.792	320.442	244.485	320.640	244.340
3	3909	120.721	320.742	243.727	320.935	243.573
4	3906	120.623	321.247	243.800	321.429	243.638
5	3918	120.181	321.154	243.754	321.337	243.607
6	3928	119.864	321.011	243.668	321.191	243.522
7	3931	119.962	320.954	244.255	321.115	244.116
8	3920	120.342	320.504	243.853	320.681	243.727
9	3933	120.190	320.469	243.992	320.631	243.861
10	3931	120.384	319.692	244.663	319.854	244.534
11	3936	120.132	319.721	244.584	319.884	244.455
12	3924	120.266	318.997	244.235	319.158	244.092
13	3930	120.202	319.214	243.445	319.370	243.313
14	3933	120.074	319.071	243.923	319.237	243.789
15	3933	119.768	319.408	244.128	319.577	244.008
16	3931	119.931	319.916	244.284	320.060	244.153
17	3925	119.955	319.955	245.013	320.094	244.871
18	3948	120.165	318.960	244.702	319.088	244.580
19	3934	120.054	318.562	244.552	318.700	244.411
20	3948	120.118	318.498	244.779	318.652	244.631
21	3959	120.503	318.454	245.113	318.623	244.964
22	3955	120.347	318.292	244.969	318.459	244.814
23	3934	120.453	318.713	245.030	318.880	244.881
24	3936	120.940	318.673	244.817	318.833	244.692
25	3956	120.710	318.135	245.008	318.297	244.887
26	3941	120.725	318.768	244.969	318.944	244.855
27	3929	120.815	319.606	244.634	319.775	244.525
28	3929	120.586	320.258	244.264	320.428	244.146
29	3926	120.229	319.884	243.807	320.064	243.707
30	3919	121.012	320.475	244.415	320.649	244.307
31	3924	120.992	319.952	244.131	320.155	244.023
32	3937	121.181	319.939	244.412	320.126	244.313
33	3931	120.973	319.544	244.227	319.725	244.114
34	3930	120.621	319.012	243.725	319.199	243.639
35	3942	120.637	318.459	243.715	318.633	243.634
36	3931	120.500	318.892	243.614	319.068	243.552
37	3937	120.239	318.464	242.796	318.633	242.725
38	3941	119.929	318.255	243.202	318.433	243.122
39	3934	119.885	318.758	243.083	318.914	242.984
40	3934	119.858	319.243	243.346	319.409	243.246
41	3923	119.720	319.596	244.061	319.752	243.958
42	3938	119.555	319.908	243.879	320.059	243.775
43	3925	119.531	319.991	243.764	320.158	243.657
44	3934	119.840	320.544	243.825	320.704	243.710
45	3931	119.791	320.067	244.143	320.236	244.027
46	3899	119.942	320.416	244.237	320.581	244.135
47	3917	119.628	320.877	244.694	321.046	244.569
48	3924	119.442	320.388	244.204	320.549	244.087
49	3923	119.676	321.143	245.146	321.291	245.038
50	3921	119.498	321.352	245.556	321.486	245.456
51	3916	119.551	321.350	245.347	321.488	245.238
52	3927	118.983	320.926	245.026	321.061	244.915
53	3915	118.833	320.919	244.379	321.047	244.263
54	3933	119.024	321.564	244.207	321.710	244.100
55	3935	118.987	321.470	244.176	321.612	244.051
56	3941	119.408	322.065	244.323	322.221	244.222
57	3952	119.410	320.888	244.066	321.026	243.961
58	3954	119.381	320.515	243.940	320.666	243.843
59	3941	119.439	320.458	244.271	320.605	244.174
60	3956	119.401	319.604	243.924	319.747	243.836
61	3956	119.223	318.829	243.506	318.979	243.426
62	3953	119.138	319.057	243.283	319.198	243.184
63	3956	118.815	318.723	243.712	318.868	243.625
64	3945	119.174	319.540	243.385	319.686	243.278
65	3942	119.210	319.483	243.402	319.656	243.278
66	3953	119.500	319.039	243.906	319.215	243.798
67	3944	119.766	319.926	243.856	320.100	243.749
68	3940	119.920	319.779	244.033	319.961	243.931
69	3951	119.957	320.585	244.312	320.755	244.196
70	3951	120.140	320.693	243.830	320.870	243.708
71	3944	119.731	321.227	243.930	321.412	243.785
72	3941	119.208	320.940	244.081	321.107	243.943
73	3935	119.535	320.878	244.490	321.044	244.351
74	3935	119.928	320.778	245.598	320.942	245.462
75	3942	119.528	320.518	245.651	320.682	245.506
76	3937	119.536	320.647	245.594	320.830	245.448
77	3946	119.404	321.282	245.896	321.459	245.741
78	3942	119.292	320.887	244.930	321.051	244.783
79	3945	119.084	320.579	245.343	320.733	245.194
80	3935	118.746	320.490	245.390	320.652	245.241
81	3942	118.433	319.798	245.543	319.959	245.381
82	3937	118.446	319.452	245.163	319.621	245.028
83	3953	118.549	319.239	245.081	319.409	244.945
84	3950	118.546	319.174	244.407	319.345	244.285
