 	Area	Mean	X	Y	XM	YM
1	3418	129.852	327.696	245.657	327.833	245.683
2	3443	129.700	327.481	245.853	327.626	245.878
3	3430	129.239	328.378	246.141	328.520	246.162
4	3433	129.000	328.261	245.794	328.395	245.820
5	3422	129.298	327.494	246.290	327.641	246.295
6	3442	129.776	328.025	246.149	328.167	246.146
7	3434	129.421	328.033	246.212	328.176	246.224
8	3436	129.588	327.967	245.857	328.091	245.858
9	3424	129.496	327.931	245.480	328.038	245.498
10	3432	129.074	328.080	245.078	328.184	245.084
11	3430	128.936	328.230	245.323	328.342	245.324
12	3430	129.142	327.720	245.136	327.822	245.132
13	3424	129.218	327.762	244.716	327.882	244.721
14	3434	129.521	328.115	244.510	328.234	244.510
15	3435	129.183	327.289	245.250	327.400	245.242
16	3434	129.449	327.686	244.918	327.790	244.918
17	3429	129.505	327.542	244.795	327.653	244.790
18	3428	129.861	327.059	244.679	327.178	244.669
19	3423	129.431	326.982	245.401	327.091	245.400
20	3438	129.112	326.586	245.748	326.685	245.742
21	3447	129.070	326.620	246.045	326.722	246.051
22	3428	128.954	327.116	245.820	327.218	245.824
23	3431	128.746	327.364	246.046	327.455	246.049
24	3432	129.219	327.179	245.696	327.282	245.697
25	3440	128.909	327.352	245.099	327.461	245.109
26	3449	128.976	326.808	244.976	326.903	244.968
27	3447	129.120	326.999	245.306	327.092	245.303
28	3455	128.936	326.924	245.190	327.026	245.178
29	3437	128.974	327.486	244.864	327.589	244.848
30	3443	128.935	327.813	244.891	327.909	244.887
31	3443	128.913	327.824	244.381	327.937	244.396
32	3462	128.569	327.652	244.089	327.752	244.098
33	3454	128.591	327.808	243.993	327.919	243.996
34	3441	128.483	327.631	244.696	327.748	244.706
35	3433	128.896	327.379	245.173	327.496	245.175
36	3441	128.886	327.424	245.409	327.538	245.421
37	3431	128.726	326.826	245.169	326.919	245.178
38	3441	128.474	327.006	245.644	327.095	245.660
39	3429	128.814	326.464	245.313	326.558	245.334
40	3421	128.820	327.376	245.697	327.476	245.704
41	3442	128.760	327.299	245.831	327.419	245.858
42	3441	128.331	326.923	245.388	327.055	245.407
43	3446	128.394	326.687	245.698	326.805	245.701
44	3452	128.041	327.011	245.835	327.142	245.854
45	3455	128.048	326.560	246.065	326.672	246.067
46	3430	127.916	327.278	246.152	327.393	246.170
47	3442	127.675	327.345	246.220	327.454	246.243
48	3436	127.317	327.372	246.220	327.465	246.242
49	3447	127.054	326.869	246.560	326.952	246.576
50	3452	127.375	326.833	246.753	326.930	246.761
51	3448	127.303	327.376	247.006	327.463	247.018
52	3450	127.392	327.124	247.099	327.208	247.110
53	3437	127.565	327.362	246.716	327.466	246.722
54	3436	127.687	327.528	247.021	327.630	247.026
55	3438	127.899	327.494	246.865	327.595	246.868
56	3436	128.364	327.917	246.654	328.029	246.653
57	3437	128.193	328.529	246.621	328.640	246.632
58	3440	127.598	327.963	246.735	328.082	246.728
59	3438	127.369	328.104	246.563	328.225	246.551
60	3439	127.385	328.338	246.009	328.463	245.995
61	3427	127.655	328.519	245.465	328.636	245.441
62	3443	127.714	327.977	244.837	328.083	244.812
63	3453	127.489	328.023	245.264	328.117	245.240
64	3450	127.465	327.806	245.815	327.890	245.798
65	3443	127.255	327.932	245.392	328.027	245.388
66	3449	127.862	328.655	245.556	328.756	245.548
67	3445	127.758	328.218	245.240	328.336	245.238
68	3436	128.015	328.754	244.566	328.882	244.565
69	3437	127.559	328.641	244.493	328.760	244.498
70	3448	127.576	328.628	244.856	328.737	244.853
71	3432	127.798	328.328	244.781	328.428	244.767
72	3436	127.476	328.295	245.169	328.396	245.159
73	3447	127.593	328.129	245.035	328.231	245.021
74	3441	127.695	328.372	245.583	328.462	245.552
75	3439	127.417	328.446	245.734	328.543	245.706
76	3436	127.299	328.164	245.691	328.265	245.664
77	3428	126.992	328.051	245.941	328.163	245.906
78	3426	127.276	328.454	245.588	328.570	245.576
79	3435	127.904	328.696	245.662	328.812	245.656
80	3414	127.564	328.631	245.941	328.737	245.918
81	3410	127.270	328.433	246.092	328.553	246.067
82	3428	127.397	328.154	245.469	328.281	245.448
83	3436	127.818	327.810	245.619	327.927	245.601
84	3439	128.359	328.058	245.722	328.182	245.709
85	3424	128.785	327.828	245.719	327.955	245.698
86	3423	128.361	327.240	245.854	327.356	245.843
87	3420	128.801	327.231	245.710	327.335	245.697
88	3421	128.842	327.601	245.375	327.699	245.362
89	3435	128.951	327.870	245.645	327.978	245.621
90	3411	129.177	327.714	245.551	327.823	245.523
91	3428	128.910	327.178	245.775	327.297	245.755
92	3430	129.262	326.592	246.031	326.713	246.012
93	3430	129.384	326.873	246.249	327.008	246.241
94	3424	129.702	326.806	246.090	326.949	246.082
95	3426	129.722	326.627	245.998	326.775	246.003
96	3431	129.821	326.762	246.195	326.928	246.193
97	3427	129.847	325.796	245.882	325.956	245.884
98	3423	130.349	326.336	246.118	326.504	246.114
99	3437	130.168	326.334	245.507	326.502	245.502
100	3424	129.962	326.394	245.223	326.546	245.214
101	3435	129.886	325.852	245.089	325.989	245.077
102	3428	129.817	326.306	245.059	326.443	245.036
